41	9	10
42	9	8
43	19	12
44	11	19
45	19	20
46	3	11
47	1	9
48	9	12
49	12	20
50	11	20
51	11	26
52	9	7
53	11	9
54	7	8
55	26	8
56	7	26
57	10	12
58	1	10
59	10	19
60	24	19
61	24	25
62	1	2
63	24	1
64	2	3
65	25	3
66	2	25
67	1	3
68	25	19
69	3	19
70	9	14
71	8	14
72	14	21
73	14	15
74	14	23
75	21	15
76	15	17
77	5	17
78	5	4
79	21	22
80	5	21
81	22	23
82	22	4
83	21	23
84	11	1
85	18	27
86	6	13
87	18	6
88	13	28
89	27	28
90	13	27
91	18	16
92	16	20
93	17	16
94	8	16
95	11	16
96	15	16
97	17	18
98	18	20
99	5	18
100	28	18
101	26	28
102	5	6
103	6	20
104	12	6
105	6	14
106	6	9
107	4	23
108	4	6
109	14	16
110	13	14
